,0
1,"[[0.26116192 0.25809007 0.23741768 0.13074387 0.11258646]
 [0.2655634  0.26489377 0.21667837 0.18864998 0.06421448]
 [0.47746487 0.26870286 0.11460486 0.0964392  0.0427882 ]
 [0.28013203 0.2727567  0.19493305 0.18500068 0.06717753]
 [0.32565173 0.25607745 0.19190319 0.16755578 0.05881185]]"
2,"[[0.34053517 0.2801845  0.22338479 0.11964996 0.03624559]
 [0.31378627 0.25213083 0.25033641 0.14932221 0.03442429]
 [0.41785018 0.20750877 0.20492702 0.13230909 0.03740494]
 [0.36174583 0.29720154 0.18605791 0.10168183 0.05331289]
 [0.34274224 0.2479957  0.220178   0.10809198 0.08099208]]"
3,"[[0.32285186 0.23639304 0.19768098 0.15350619 0.08956793]
 [0.46184073 0.32858487 0.15905789 0.04749507 0.00302144]
 [0.4572418  0.34726047 0.0934381  0.05635566 0.04570397]
 [0.26523315 0.24875769 0.17248685 0.17016007 0.14336224]
 [0.34578672 0.23953931 0.22063787 0.1261617  0.0678744 ]]"
4,"[[0.30193674 0.29938573 0.17217245 0.15719106 0.06931402]
 [0.25232459 0.24068606 0.19542299 0.16320203 0.14836432]
 [0.37046501 0.26072821 0.19991066 0.16800173 0.00089439]
 [0.36119314 0.28085814 0.16368179 0.10675991 0.08750702]
 [0.30244217 0.30126562 0.14048917 0.13668762 0.11911542]]"
5,"[[0.37460642 0.27432597 0.16227942 0.14451218 0.04427602]
 [0.43283114 0.16638443 0.1432913  0.13064152 0.12685161]
 [0.57792951 0.21695424 0.12347744 0.04533782 0.03630099]
 [0.39689033 0.19263317 0.16666243 0.1454714  0.09834268]
 [0.31381061 0.28717127 0.20096281 0.1381281  0.05992722]]"
6,"[[0.33928714 0.27031414 0.18707725 0.17913222 0.02418925]
 [0.29910845 0.27413569 0.17830109 0.13287373 0.11558104]
 [0.25527966 0.22500166 0.21958789 0.17126928 0.1288615 ]
 [0.30988369 0.30349245 0.1870473  0.16331076 0.0362658 ]
 [0.36915608 0.20064811 0.19177721 0.1632913  0.0751273 ]]"
7,"[[0.28972291 0.27072298 0.21826081 0.17628915 0.04500415]
 [0.32954133 0.30018484 0.23091441 0.11113726 0.02822217]
 [0.34186557 0.25351768 0.23137814 0.09069291 0.0825457 ]
 [0.2840722  0.26759662 0.22632896 0.17402748 0.04797474]
 [0.2941527  0.22615617 0.21997533 0.19440774 0.06530805]]"
8,"[[0.29743369 0.40413428 0.10857006 0.0952172  0.09464476]
 [0.52797787 0.22182496 0.12760568 0.08342809 0.03916339]
 [0.33405939 0.32735067 0.2732324  0.04860198 0.01675556]
 [0.27180543 0.23498036 0.2189968  0.19670231 0.0775151 ]
 [0.25849441 0.24981222 0.20660002 0.15284046 0.13225289]]"
9,"[[0.60307621 0.20583573 0.09114016 0.0788087  0.0211392 ]
 [0.28759084 0.25264641 0.20283287 0.16411569 0.09281419]
 [0.35799182 0.32733965 0.17381038 0.12046261 0.02039554]
 [0.27245345 0.27086555 0.22203807 0.19951867 0.03512426]
 [0.2315     0.22362829 0.22262955 0.17741413 0.14482804]]"
10,"[[0.44629742 0.28687626 0.19438754 0.03699951 0.03543926]
 [0.56236114 0.23566026 0.11400416 0.07724588 0.01072855]
 [0.32841931 0.22704394 0.21905339 0.11971107 0.10577229]
 [0.4227762  0.37567863 0.11879078 0.06507612 0.01767827]
 [0.28397283 0.20073564 0.18843536 0.18657201 0.14028416]]"
