,0
1,"[[0.26008988 0.25953225 0.22496601 0.25541185 0.        ]
 [0.25953225 0.22496601 0.26008988 0.         0.25541185]
 [0.25953225 0.         0.22496601 0.26008988 0.25541185]
 [0.         0.25953225 0.25541185 0.26008988 0.22496601]
 [0.26008988 0.25953225 0.25541185 0.         0.22496601]]"
2,"[[0.         0.25953225 0.25541185 0.26008988 0.22496601]
 [0.26008988 0.25953225 0.         0.22496601 0.25541185]
 [0.26008988 0.22496601 0.         0.25953225 0.25541185]
 [0.25541185 0.         0.25953225 0.22496601 0.26008988]
 [0.         0.25953225 0.25541185 0.22496601 0.26008988]]"
3,"[[0.         0.25953225 0.25541185 0.22496601 0.26008988]
 [0.26008988 0.25541185 0.25953225 0.22496601 0.        ]
 [0.25541185 0.         0.22496601 0.25953225 0.26008988]
 [0.25953225 0.25541185 0.         0.22496601 0.26008988]
 [0.25541185 0.26008988 0.22496601 0.25953225 0.        ]]"
4,"[[0.26008988 0.25953225 0.25541185 0.22496601 0.        ]
 [0.22496601 0.         0.26008988 0.25541185 0.25953225]
 [0.25953225 0.         0.22496601 0.26008988 0.25541185]
 [0.25953225 0.26008988 0.25541185 0.         0.22496601]
 [0.26008988 0.22496601 0.         0.25953225 0.25541185]]"
5,"[[0.22496601 0.25541185 0.25953225 0.         0.26008988]
 [0.22496601 0.25541185 0.25953225 0.26008988 0.        ]
 [0.         0.25541185 0.26008988 0.25953225 0.22496601]
 [0.26008988 0.         0.25953225 0.22496601 0.25541185]
 [0.25953225 0.         0.26008988 0.22496601 0.25541185]]"
6,"[[0.25953225 0.         0.25541185 0.22496601 0.26008988]
 [0.25953225 0.25541185 0.22496601 0.         0.26008988]
 [0.         0.26008988 0.22496601 0.25953225 0.25541185]
 [0.22496601 0.         0.25953225 0.25541185 0.26008988]
 [0.25953225 0.25541185 0.26008988 0.         0.22496601]]"
7,"[[0.22496601 0.         0.26008988 0.25541185 0.25953225]
 [0.22496601 0.         0.26008988 0.25541185 0.25953225]
 [0.         0.22496601 0.25953225 0.26008988 0.25541185]
 [0.         0.26008988 0.22496601 0.25541185 0.25953225]
 [0.         0.25953225 0.22496601 0.26008988 0.25541185]]"
8,"[[0.26008988 0.25953225 0.25541185 0.         0.22496601]
 [0.25953225 0.25541185 0.26008988 0.22496601 0.        ]
 [0.25541185 0.22496601 0.25953225 0.         0.26008988]
 [0.25541185 0.25953225 0.22496601 0.         0.26008988]
 [0.22496601 0.         0.25953225 0.25541185 0.26008988]]"
9,"[[0.25541185 0.22496601 0.25953225 0.         0.26008988]
 [0.25541185 0.26008988 0.25953225 0.         0.22496601]
 [0.         0.22496601 0.26008988 0.25541185 0.25953225]
 [0.25953225 0.22496601 0.26008988 0.25541185 0.        ]
 [0.         0.22496601 0.25541185 0.25953225 0.26008988]]"
10,"[[0.25953225 0.25541185 0.         0.22496601 0.26008988]
 [0.22496601 0.         0.25953225 0.26008988 0.25541185]
 [0.26008988 0.25953225 0.25541185 0.         0.22496601]
 [0.25541185 0.25953225 0.26008988 0.         0.22496601]
 [0.26008988 0.22496601 0.25541185 0.25953225 0.        ]]"
11,"[[0.25541185 0.         0.22496601 0.26008988 0.25953225]
 [0.         0.26008988 0.25953225 0.22496601 0.25541185]
 [0.22496601 0.         0.25541185 0.25953225 0.26008988]
 [0.26008988 0.22496601 0.25541185 0.         0.25953225]
 [0.25953225 0.         0.25541185 0.22496601 0.26008988]]"
12,"[[0.25541185 0.25953225 0.26008988 0.         0.22496601]
 [0.25953225 0.25541185 0.         0.26008988 0.22496601]
 [0.25541185 0.22496601 0.         0.25953225 0.26008988]
 [0.26008988 0.25541185 0.22496601 0.         0.25953225]
 [0.25953225 0.         0.26008988 0.25541185 0.22496601]]"
