,0
1,"[[1.         1.5033156  0.         0.18193268 0.46322696]
 [0.24511637 0.2003811  0.         0.22067219 0.31673061]
 [0.         1.79727291 0.26229027 0.11367289 0.7142889 ]
 [1.08346807 1.94242495 0.16991953 0.24948752 0.        ]
 [0.80244529 3.15725721 0.         0.13614465 0.37594847]]"
2,"[[0.26648952 1.04711391 1.43596196 0.35164781 0.        ]
 [0.         0.71694935 1.71192999 0.80298713 0.3333221 ]
 [0.         0.10746997 0.78086629 1.82819745 0.03558328]
 [0.         0.25974566 0.32729517 0.43474209 0.28901541]
 [0.         1.10552839 1.53851384 1.55082879 0.43015455]]"
3,"[[0.         0.22979871 0.88487129 1.44320217 0.18273309]
 [1.08079267 0.         1.01982176 0.44005974 1.03006898]
 [0.         0.80418382 0.72959678 1.91671154 0.32360255]
 [0.56037618 0.         0.52172692 0.74060501 0.29808624]
 [0.7108444  0.         0.22697629 1.74036247 0.07838381]]"
4,"[[0.4948231  0.97130075 0.         0.71749608 0.51397027]
 [0.63253265 1.         0.12099371 0.85000654 0.        ]
 [0.71597457 0.55395813 0.89488239 0.62179391 0.        ]
 [0.94493998 0.30615457 0.126306   0.         0.29625519]
 [1.25911118 0.63641436 0.5257931  0.         0.48994294]]"
5,"[[0.59945953 0.28719891 0.         0.40360007 1.32590853]
 [2.12991478 0.         0.23552723 0.46848066 1.25555764]
 [2.57047489 0.86638536 0.37772269 0.         3.04258968]
 [2.14191572 1.16328609 0.9110553  0.         1.58696449]
 [0.         0.28207978 0.0908261  0.27003243 0.30122012]]"
6,"[[0.42249843 0.35470252 1.21676485 0.         0.53218084]
 [0.13725724 1.         0.         0.07409116 0.72750133]
 [0.         0.92767027 0.83595773 0.093939   1.19948516]
 [0.73997181 0.55188385 1.61183283 0.         1.53844894]
 [0.03059536 0.8162724  0.68641895 0.17474842 0.        ]]"
7,"[[0.08363418 0.         0.85926753 0.78059728 0.56878669]
 [0.33325978 1.         0.07650482 0.66957329 0.        ]
 [0.77188867 0.32499038 0.         0.4169236  1.30259574]
 [0.17577426 0.5930118  0.         1.         0.98088017]
 [0.09674905 0.85565494 0.         0.56256044 0.02338704]]"
8,"[[0.23813022 0.50690696 1.34885472 0.8747733  0.        ]
 [0.18820559 0.         0.72218079 0.5808974  0.65674981]
 [0.03962276 0.7951361  1.         0.43751478 0.        ]
 [0.27617063 0.04724257 0.69879985 1.         0.        ]
 [0.30932523 0.         1.57927163 0.16126891 0.26598549]]"
9,"[[1.         0.28842613 0.17972749 0.         0.35737768]
 [0.         0.72398257 0.74152458 1.15290155 0.21804589]
 [0.94483819 0.04054431 0.09077715 0.18038978 0.        ]
 [0.68145472 0.86737675 0.99220122 0.70958237 0.        ]
 [1.16647619 0.         1.05112887 0.71026721 0.58029944]]"
10,"[[0.         0.79067167 0.62343706 0.05755984 1.07855622]
 [1.13922325 0.24293979 0.         0.16780778 0.58972033]
 [0.7442949  0.42373211 1.         0.26839062 0.        ]
 [1.05550155 0.67929659 0.87137681 1.         0.        ]
 [0.         0.8138575  0.08765549 0.43581645 0.79976385]]"
11,"[[0.01014174 0.         0.36163777 0.04408827 0.38227105]
 [0.55459963 1.         0.32090669 0.         0.59222606]
 [0.02246973 0.08224656 0.27012013 0.         1.27838599]
 [3.42000546 1.03034621 0.65643339 0.         0.3356377 ]
 [2.16303833 0.79774576 0.58423397 0.         0.19102494]]"
12,"[[0.10233873 1.02154363 0.         0.19235857 0.75809386]
 [0.97891071 0.69520561 0.         0.6289048  0.61074875]
 [0.19030589 0.66080035 0.         1.27338599 0.88989679]
 [0.81235592 0.25935498 0.0693168  0.50458221 0.        ]
 [0.71244183 0.         0.29430918 0.40640582 0.92004821]]"
13,"[[0.78423233 0.5068927  0.76558862 0.63564257 0.        ]
 [0.63899952 1.         0.         0.65514834 1.14200312]
 [0.56241686 1.07167004 1.         1.40816685 0.        ]
 [0.39889565 0.65400547 0.14561067 0.84043876 0.        ]
 [0.         0.81329626 0.45523477 1.14511616 0.17274307]]"
14,"[[0.45197647 0.         0.24467648 0.31184555 1.29760496]
 [0.6734106  0.56624998 0.42941473 1.28162236 0.        ]
 [0.         0.17257228 0.75623773 2.25410144 0.85522872]
 [0.1924474  0.60668657 0.         0.93002628 0.56847114]
 [0.35131196 0.21480698 0.1647598  1.75910427 0.        ]]"
15,"[[0.15790197 0.         0.79362453 1.85669727 1.04297968]
 [0.16853212 0.69071035 0.83021921 2.40737856 0.        ]
 [0.         1.11126153 0.56796152 1.94619591 0.52487923]
 [0.35417647 0.10650545 0.         1.         0.38763336]
 [0.         0.93440654 0.14152405 2.03775049 0.64549359]]"
16,"[[1.         0.09104316 0.13375874 0.08425411 0.        ]
 [1.49643022 0.         1.53090256 1.37259906 0.96086071]
 [0.48698699 0.         0.47204844 0.84234619 0.7882819 ]
 [0.34901569 0.72854487 0.6360578  0.         0.20189954]
 [1.48179134 0.15826047 0.         0.89969234 0.37486973]]"
17,"[[0.         0.22432814 0.76224957 1.02591731 0.51506026]
 [0.         1.         0.16751981 0.47234511 1.06187027]
 [0.06169788 0.81330456 0.62307993 0.47064291 0.        ]
 [0.83015434 0.91922425 0.87958472 0.         0.90309208]
 [0.0594543  0.         0.92848851 0.14636051 0.36339814]]"
18,"[[0.         0.65729704 0.51908306 0.58172005 0.13134881]
 [1.05550348 0.79297665 0.38900102 0.         0.69896278]
 [0.84110502 0.2501981  0.         0.27450807 1.06057521]
 [0.75114511 1.35656635 0.         0.80352103 0.25562345]
 [0.20139942 0.97517478 0.         0.2732922  1.        ]]"
19,"[[0.         1.21453954 0.40368995 0.63787139 0.50770431]
 [0.         0.49481616 0.58379451 0.08568186 0.73513376]
 [0.         1.71293149 0.7688649  0.91859103 1.19381281]
 [0.48018725 1.34895639 0.         0.12886882 0.58838266]
 [0.31305557 0.04043388 0.69991287 0.95030911 0.        ]]"
20,"[[1.         0.23056972 0.1648885  0.         0.31721826]
 [0.77029256 0.98708146 0.8868516  0.         1.45179018]
 [1.1900796  0.65827759 0.32004131 0.         1.35202026]
 [1.29887032 0.         1.06082313 0.17990936 0.57405957]
 [1.46275857 0.         0.73963389 0.19863682 0.75728028]]"
21,"[[0.79187762 0.50333283 0.72623861 0.         0.63910538 0.02818942
  0.62713211 1.13014715 0.48647804 0.85100629]
 [0.19843321 0.03601468 0.79466441 0.         0.10548532 0.65036235
  0.16045209 0.0263881  0.03968106 0.02146471]
 [0.29232073 0.         0.99906235 0.6336614  0.6996389  0.52573641
  0.67842925 0.79287342 0.45916545 0.85193352]
 [0.47827411 0.89454384 0.14499755 0.56170181 1.04148433 0.40894895
  1.24895822 0.55049571 1.05985327 0.        ]
 [0.42771666 0.34473102 0.588143   0.554717   0.92690279 0.60701037
  0.8756426  0.49206587 0.         0.26340446]
 [1.21334907 0.92163473 0.41653106 0.44530166 0.0327401  0.64567698
  0.86364555 0.77172422 0.10861601 0.        ]
 [0.5893584  0.06490795 0.73206256 0.13367307 0.07196066 0.
  1.         0.45828335 0.81982872 0.37284382]
 [0.23500436 0.91199468 0.1230954  0.50043633 0.84466656 0.03225415
  0.41608522 0.         0.05265017 0.34226345]
 [0.01046844 0.         0.44967723 0.05285258 0.23597778 0.68781469
  0.31085568 1.07718861 0.63056521 0.77466333]
 [0.87915461 0.17723901 0.43628138 0.33032352 0.62137514 0.14519661
  0.         1.15256202 1.29088336 0.74820379]]"
