41,38,92,40,23,58,48,19,77,88,55,47,35,57,36,79,90,83,56,8,69,4,81,24,54,99,29,13,33,96,51,1,14,10,78,9,52,64,12,34,87,53,22,73,75,61,7,28,60,15,20,27,100,74,5,3,62,18,94,39,63,16,43,32,97,25,45,70,37,91,26,93,82,71,89,42,65,46,44,86,67,68,80,30,59,11,17,49,31,6,72,95,85,2,50,21,66,76,84,98
43,37,96,38,26,58,50,18,75,88,55,46,36,57,35,78,90,85,56,8,69,4,87,20,54,100,25,10,31,94,53,3,16,12,79,7,52,63,11,32,89,51,22,72,76,65,5,30,62,14,19,29,97,77,6,1,64,21,93,40,59,15,44,34,99,27,47,71,39,92,24,91,81,73,82,41,66,45,42,84,68,67,80,28,61,13,17,48,33,9,70,98,86,2,49,23,60,74,83,95
42,37,92,39,24,59,51,18,75,89,57,48,36,62,33,79,90,84,55,8,76,1,80,22,53,100,28,11,30,95,49,5,13,10,78,9,52,61,12,34,88,54,23,71,72,65,7,31,63,14,20,29,99,77,3,4,64,17,94,41,56,16,43,35,96,26,45,74,38,91,25,93,83,70,85,40,66,47,44,87,69,68,82,27,58,15,19,46,32,6,67,97,86,2,50,21,60,73,81,98
42,38,92,39,24,57,51,17,79,90,50,48,35,58,34,78,82,84,55,8,71,4,87,21,56,100,25,12,31,94,52,3,14,10,76,9,54,63,11,36,89,53,26,69,75,65,5,30,60,16,19,27,99,77,6,2,64,22,95,40,61,15,43,33,97,28,44,72,37,91,23,93,83,74,85,45,68,47,41,88,66,70,80,29,62,13,18,46,32,7,67,96,86,1,49,20,59,73,81,98
41,38,92,37,26,57,50,13,78,89,56,49,34,58,33,80,88,84,55,9,68,3,83,21,54,98,28,14,31,95,48,2,20,10,79,8,52,64,11,36,90,51,24,71,73,65,7,30,63,15,17,23,100,76,6,5,61,19,94,40,59,16,45,32,96,27,46,74,39,91,25,93,81,75,85,42,67,47,44,86,69,66,77,29,62,12,18,43,35,4,70,97,87,1,53,22,60,72,82,99
40,38,91,39,25,57,52,18,74,85,55,47,36,58,34,77,90,86,56,11,68,4,81,23,53,99,27,12,33,93,51,3,14,8,78,10,50,63,9,35,88,54,24,73,79,65,7,31,62,16,22,28,98,76,6,2,64,19,94,41,59,15,44,32,100,26,43,75,37,92,21,95,82,70,87,42,66,48,45,84,69,67,80,30,61,13,17,46,29,5,71,96,89,1,49,20,60,72,83,97
43,38,94,37,27,61,55,15,72,89,56,51,36,53,32,80,92,84,57,8,71,4,81,21,54,100,28,10,31,91,49,5,16,13,76,6,52,63,11,35,88,50,25,73,77,64,3,29,62,17,19,26,99,78,9,2,66,20,93,41,58,14,39,34,96,24,45,75,40,90,23,97,82,74,86,42,67,48,46,87,65,68,79,30,60,12,18,44,33,7,69,95,85,1,47,22,59,70,83,98
41,35,94,38,25,58,52,16,76,87,55,47,37,57,33,81,91,85,56,8,68,5,79,19,51,95,29,12,30,98,50,3,14,10,77,11,54,63,9,36,86,53,24,73,75,65,4,28,62,15,20,27,100,78,7,1,64,22,93,40,59,18,45,34,97,26,42,74,39,90,23,92,82,72,83,43,66,49,44,89,67,70,80,31,61,13,17,46,32,6,69,96,88,2,48,21,60,71,84,99
41,37,93,40,25,60,50,17,74,89,55,48,35,57,36,79,90,82,56,9,70,4,83,24,54,99,27,15,30,97,51,5,13,11,77,8,53,65,10,34,88,52,22,68,75,61,6,29,63,14,20,28,100,78,3,2,66,19,92,39,58,16,46,31,98,26,44,76,38,91,23,94,84,73,85,42,62,47,43,87,69,67,80,32,64,12,18,45,33,7,71,95,86,1,49,21,59,72,81,96
41,36,90,38,27,59,49,19,77,89,55,46,35,57,32,80,91,84,56,8,68,3,82,20,54,100,26,14,29,95,52,2,12,10,78,9,51,63,11,37,88,50,22,72,76,65,5,30,61,15,18,28,98,74,4,6,64,21,92,40,58,17,45,34,97,25,42,75,39,93,24,94,81,70,85,43,66,48,44,86,69,67,79,31,62,13,16,47,33,7,71,96,87,1,53,23,60,73,83,99
